id,name,name_short,name_export,code,code
160,宮崎太陽,ﾐﾔｻﾞｷﾀｲﾖｳ,宮崎太陽銀行,591,0591
161,南日本,ﾐﾅﾐﾆﾂﾎﾟﾝ,南日本銀行,594,0594
162,沖縄海邦,ｵｷﾅﾜｶｲﾎｳ,沖縄海邦銀行,596,0596
163,八千代,ﾔﾁﾖ,八千代銀行,597,0597
164,韓国産業,ｶﾝｺｸｻﾝｷﾞﾖｳ,韓国産業銀行,603,0603
165,彰化商業,ｼﾖｳｶｼﾖｳｷﾞﾖｳ,彰化商業銀行,607,0607
166,ウェルズ・ファーゴ,ｳｴﾙｽﾞ.ﾌｱ-ｺﾞ,ウェルズ・ファーゴ銀行,608,0608
167,第一商業,ﾀﾞｲｲﾁｼﾖｳｷﾞﾖｳ,第一商業銀行,611,0611
168,台湾,ﾀｲﾜﾝ,台湾銀行,612,0612
169,交通,ｺｳﾂｳ,交通銀行,615,0615
170,メトロポリタン,ﾒﾄﾛﾎﾟﾘﾀﾝ,メトロポリタン銀行,616,0616
171,中国工商,ﾁﾕｳｺﾞｸｺｳｼﾖｳ,中国工商銀行,619,0619
172,中國信託商業,ﾁﾕｳｺﾞｸｼﾝﾀｸｼﾖｳｷﾞ,中國信託商業銀行,621,0621
173,インテーザ・サンパオロ,ｲﾝﾃ-ｻﾞ.ｻﾝﾊﾟｵﾛ,インテーザ・サンパオロ銀行,623,0623
174,国民（韓国）,ｺｸﾐﾝ,国民（韓国）銀行,624,0624
175,中国建設,ﾁﾕｳｺﾞｸｹﾝｾﾂ,中国建設銀行,625,0625
176,イタウ・ウニバンコ,ｲﾀｳ.ｳﾆﾊﾞﾝｺ,イタウ・ウニバンコ銀行,626,0626
177,フォルティス,ﾌｵﾙﾃｲｽ,フォルティス銀行,629,0629
178,中国農業,ﾁﾕｳｺﾞｸﾉｳｷﾞﾖｳ,中国農業銀行,630,0630
179,信金中央金庫,ｼﾝｷﾝﾁﾕｳｵｳｷﾝｺ,信金中央金庫銀行,1000,1000
180,札幌信金,ｻﾂﾎﾟﾛｼﾝｷﾝ,札幌信金,1001,1001
181,室蘭信金,ﾑﾛﾗﾝｼﾝｷﾝ,室蘭信金,1003,1003
182,空知信金,ｿﾗﾁｼﾝｷﾝ,空知信金,1004,1004
183,苫小牧信金,ﾄﾏｺﾏｲｼﾝｷﾝ,苫小牧信金,1006,1006
184,北門信金,ﾎｸﾓﾝｼﾝｷﾝ,北門信金,1008,1008
185,伊達信金,ﾀﾞﾃｼﾝｷﾝ,伊達信金,1009,1009
186,北空知信金,ｷﾀｿﾗﾁｼﾝｷﾝ,北空知信金,1010,1010
187,日高信金,ﾋﾀﾞｶｼﾝｷﾝ,日高信金,1011,1011
188,函館信金,ﾊｺﾀﾞﾃｼﾝｷﾝ,函館信金,1012,1012
189,渡島信金,ｵｼﾏｼﾝｷﾝ,渡島信金,1013,1013
190,江差信金,ｴｻｼｼﾝｷﾝ,江差信金,1014,1014
191,小樽信金,ｵﾀﾙｼﾝｷﾝ,小樽信金,1016,1016
192,北海信金,ﾎﾂｶｲｼﾝｷﾝ,北海信金,1018,1018
193,旭川信金,ｱｻﾋｶﾜｼﾝｷﾝ,旭川信金,1020,1020
194,稚内信金,ﾜﾂｶﾅｲｼﾝｷﾝ,稚内信金,1021,1021
195,留萌信金,ﾙﾓｲｼﾝｷﾝ,留萌信金,1022,1022
196,北星信金,ﾎｸｾｲｼﾝｷﾝ,北星信金,1024,1024
197,帯広信金,ｵﾋﾞﾋﾛｼﾝｷﾝ,帯広信金,1026,1026
198,釧路信金,ｸｼﾛｼﾝｷﾝ,釧路信金,1027,1027
199,大地みらい信金,ﾀﾞｲﾁﾐﾗｲｼﾝｷﾝ,大地みらい信金,1028,1028
200,北見信金,ｷﾀﾐｼﾝｷﾝ,北見信金,1030,1030
201,網走信金,ｱﾊﾞｼﾘｼﾝｷﾝ,網走信金,1031,1031
202,遠軽信金,ｴﾝｶﾞﾙｼﾝｷﾝ,遠軽信金,1033,1033
203,東奥信金,ﾄｳｵｳｼﾝｷﾝ,東奥信金,1104,1104
204,青い森信金,ｱｵｲﾓﾘｼﾝｷﾝ,青い森信金,1105,1105
205,秋田信金,ｱｷﾀｼﾝｷﾝ,秋田信金,1120,1120
206,羽後信金,ｳｺﾞｼﾝｷﾝ,羽後信金,1123,1123
207,山形信金,ﾔﾏｶﾞﾀｼﾝｷﾝ,山形信金,1140,1140
208,米沢信金,ﾖﾈｻﾞﾜｼﾝｷﾝ,米沢信金,1141,1141
209,鶴岡信金,ﾂﾙｵｶｼﾝｷﾝ,鶴岡信金,1142,1142
210,新庄信金,ｼﾝｼﾞﾖｳｼﾝｷﾝ,新庄信金,1143,1143
211,盛岡信金,ﾓﾘｵｶｼﾝｷﾝ,盛岡信金,1150,1150
212,宮古信金,ﾐﾔｺｼﾝｷﾝ,宮古信金,1152,1152
213,一関信金,ｲﾁﾉｾｷｼﾝｷﾝ,一関信金,1153,1153
214,北上信金,ｷﾀｶﾐｼﾝｷﾝ,北上信金,1154,1154
215,花巻信金,ﾊﾅﾏｷｼﾝｷﾝ,花巻信金,1155,1155
216,水沢信金,ﾐｽﾞｻﾜｼﾝｷﾝ,水沢信金,1156,1156
217,杜の都信金,ﾓﾘﾉﾐﾔｺｼﾝｷﾝ,杜の都信金,1170,1170
218,宮城第一信金,ﾐﾔｷﾞﾀﾞｲｲﾁｼﾝｷﾝ,宮城第一信金,1171,1171
219,石巻信金,ｲｼﾉﾏｷｼﾝｷﾝ,石巻信金,1172,1172
220,仙南信金,ｾﾝﾅﾝｼﾝｷﾝ,仙南信金,1174,1174
221,気仙沼信金,ｹｾﾝﾇﾏｼﾝｷﾝ,気仙沼信金,1175,1175
222,会津信金,ｱｲﾂﾞｼﾝｷﾝ,会津信金,1181,1181
223,郡山信金,ｺｵﾘﾔﾏｼﾝｷﾝ,郡山信金,1182,1182
224,白河信金,ｼﾗｶﾜｼﾝｷﾝ,白河信金,1184,1184
225,須賀川信金,ｽｶｶﾞﾜｼﾝｷﾝ,須賀川信金,1185,1185
226,ひまわり信金,ﾋﾏﾜﾘｼﾝｷﾝ,ひまわり信金,1186,1186
227,あぶくま信金,ｱﾌﾞｸﾏｼﾝｷﾝ,あぶくま信金,1188,1188
228,二本松信金,ﾆﾎﾝﾏﾂｼﾝｷﾝ,二本松信金,1189,1189
229,福島信金,ﾌｸｼﾏｼﾝｷﾝ,福島信金,1190,1190
230,高崎信金,ﾀｶｻｷｼﾝｷﾝ,高崎信金,1203,1203
231,桐生信金,ｷﾘﾕｳｼﾝｷﾝ,桐生信金,1204,1204
232,アイオー信金,ｱｲｵ-ｼﾝｷﾝ,アイオー信金,1206,1206
233,利根郡信金,ﾄﾈｸﾞﾝｼﾝｷﾝ,利根郡信金,1208,1208
234,館林信金,ﾀﾃﾊﾞﾔｼｼﾝｷﾝ,館林信金,1209,1209
235,北群馬信金,ｷﾀｸﾞﾝﾏｼﾝｷﾝ,北群馬信金,1210,1210
236,しののめ信金,ｼﾉﾉﾒｼﾝｷﾝ,しののめ信金,1211,1211
237,足利小山信金,ｱｼｶｶﾞｵﾔﾏｼﾝｷﾝ,足利小山信金,1221,1221
238,栃木信金,ﾄﾁｷﾞｼﾝｷﾝ,栃木信金,1222,1222
239,鹿沼相互信金,ｶﾇﾏｿｳｺﾞｼﾝｷﾝ,鹿沼相互信金,1223,1223
240,佐野信金,ｻﾉｼﾝｷﾝ,佐野信金,1224,1224
241,大田原信金,ｵｵﾀﾜﾗｼﾝｷﾝ,大田原信金,1225,1225
242,烏山信金,ｶﾗｽﾔﾏｼﾝｷﾝ,烏山信金,1227,1227
243,水戸信金,ﾐﾄｼﾝｷﾝ,水戸信金,1240,1240
244,結城信金,ﾕｳｷｼﾝｷﾝ,結城信金,1242,1242
245,埼玉縣信金,ｻｲﾀﾏｹﾝｼﾝｷﾝ,埼玉縣信金,1250,1250
246,川口信金,ｶﾜｸﾞﾁｼﾝｷﾝ,川口信金,1251,1251
247,青木信金,ｱｵｷｼﾝｷﾝ,青木信金,1252,1252
248,飯能信金,ﾊﾝﾉｳｼﾝｷﾝ,飯能信金,1253,1253
249,千葉信金,ﾁﾊﾞｼﾝｷﾝ,千葉信金,1260,1260
250,銚子信金,ﾁﾖｳｼｼﾝｷﾝ,銚子信金,1261,1261
251,東京ベイ信金,ﾄｳｷﾖｳﾍﾞｲｼﾝｷﾝ,東京ベイ信金,1262,1262
252,館山信金,ﾀﾃﾔﾏｼﾝｷﾝ,館山信金,1264,1264
253,佐原信金,ｻﾜﾗｼﾝｷﾝ,佐原信金,1267,1267
254,横浜信金,ﾖｺﾊﾏｼﾝｷﾝ,横浜信金,1280,1280
255,かながわ信金,ｶﾅｶﾞﾜｼﾝｷﾝ,かながわ信金,1281,1281
256,湘南信金,ｼﾖｳﾅﾝｼﾝｷﾝ,湘南信金,1282,1282
257,川崎信金,ｶﾜｻｷｼﾝｷﾝ,川崎信金,1283,1283
258,平塚信金,ﾋﾗﾂｶｼﾝｷﾝ,平塚信金,1286,1286
259,さがみ信金,ｻｶﾞﾐｼﾝｷﾝ,さがみ信金,1288,1288
260,中栄信金,ﾁﾕｳｴｲｼﾝｷﾝ,中栄信金,1289,1289
261,中南信金,ﾁﾕｳﾅﾝｼﾝｷﾝ,中南信金,1290,1290
262,朝日信金,ｱｻﾋｼﾝｷﾝ,朝日信金,1303,1303
263,興産信金,ｺｳｻﾝｼﾝｷﾝ,興産信金,1305,1305
264,さわやか信金,ｻﾜﾔｶｼﾝｷﾝ,さわやか信金,1310,1310
265,東京シティ信金,ﾄｳｷﾖｳｼﾃｲｼﾝｷﾝ,東京シティ信金,1311,1311
266,芝信金,ｼﾊﾞｼﾝｷﾝ,芝信金,1319,1319
267,東京東信金,ﾄｳｷﾖｳﾋｶﾞｼｼﾝｷﾝ,東京東信金,1320,1320
268,東栄信金,ﾄｳｴｲｼﾝｷﾝ,東栄信金,1321,1321
269,亀有信金,ｶﾒｱﾘｼﾝｷﾝ,亀有信金,1323,1323
270,小松川信金,ｺﾏﾂｶﾞﾜｼﾝｷﾝ,小松川信金,1326,1326
271,足立成和信金,ｱﾀﾞﾁｾｲﾜｼﾝｷﾝ,足立成和信金,1327,1327
272,東京三協信金,ﾄｳｷﾖｳｻﾝｷﾖｳｼﾝｷﾝ,東京三協信金,1333,1333
273,西京信金,ｻｲｷﾖｳｼﾝｷﾝ,西京信金,1336,1336
274,西武信金,ｾｲﾌﾞｼﾝｷﾝ,西武信金,1341,1341
275,城南信金,ｼﾞﾖｳﾅﾝｼﾝｷﾝ,城南信金,1344,1344
276,昭和信金,ｼﾖｳﾜｼﾝｷﾝ,昭和信金,1345,1345
277,目黒信金,ﾒｸﾞﾛｼﾝｷﾝ,目黒信金,1346,1346
278,世田谷信金,ｾﾀｶﾞﾔｼﾝｷﾝ,世田谷信金,1348,1348
279,東京信金,ﾄｳｷﾖｳｼﾝｷﾝ,東京信金,1349,1349
280,城北信金,ｼﾞﾖｳﾎｸｼﾝｷﾝ,城北信金,1351,1351
281,瀧野川信金,ﾀｷﾉｶﾞﾜｼﾝｷﾝ,瀧野川信金,1352,1352
282,巣鴨信金,ｽｶﾞﾓｼﾝｷﾝ,巣鴨信金,1356,1356
283,青梅信金,ｵｳﾒｼﾝｷﾝ,青梅信金,1358,1358
284,多摩信金,ﾀﾏｼﾝｷﾝ,多摩信金,1360,1360
285,新潟信金,ﾆｲｶﾞﾀｼﾝｷﾝ,新潟信金,1370,1370
286,長岡信金,ﾅｶﾞｵｶｼﾝｷﾝ,長岡信金,1371,1371
287,三条信金,ｻﾝｼﾞﾖｳｼﾝｷﾝ,三条信金,1373,1373
288,新発田信金,ｼﾊﾞﾀｼﾝｷﾝ,新発田信金,1374,1374
289,柏崎信金,ｶｼﾜｻﾞｷｼﾝｷﾝ,柏崎信金,1375,1375
290,上越信金,ｼﾞﾖｳｴﾂｼﾝｷﾝ,上越信金,1376,1376
291,新井信金,ｱﾗｲｼﾝｷﾝ,新井信金,1377,1377
292,村上信金,ﾑﾗｶﾐｼﾝｷﾝ,村上信金,1379,1379
293,加茂信金,ｶﾓｼﾝｷﾝ,加茂信金,1380,1380
294,甲府信金,ｺｳﾌｼﾝｷﾝ,甲府信金,1385,1385
295,山梨信金,ﾔﾏﾅｼｼﾝｷﾝ,山梨信金,1386,1386
296,長野信金,ﾅｶﾞﾉｼﾝｷﾝ,長野信金,1390,1390
297,松本信金,ﾏﾂﾓﾄｼﾝｷﾝ,松本信金,1391,1391
298,上田信金,ｳｴﾀﾞｼﾝｷﾝ,上田信金,1392,1392
299,諏訪信金,ｽﾜｼﾝｷﾝ,諏訪信金,1393,1393
300,飯田信金,ｲｲﾀﾞｼﾝｷﾝ,飯田信金,1394,1394
301,アルプス中央信金,ｱﾙﾌﾟｽﾁﾕｳｵｳｼﾝｷﾝ,アルプス中央信金,1396,1396
302,富山信金,ﾄﾔﾏｼﾝｷﾝ,富山信金,1401,1401
303,高岡信金,ﾀｶｵｶｼﾝｷﾝ,高岡信金,1402,1402
